genename	F_stat
SLC7A8	-13.1549231041252
ALDH1A2	-13.0437897716405
NPC1	-11.8697773212193
CTSL	-11.5280960758425
COLEC12	-11.4479513610817
HABP4	-11.3230467666871
RCAN2	-11.2722304517341
NECAB2	-11.255820028471
LPIN1	-11.2011810000614
MAN1C1	-11.1730061057954
MYO1E	-11.0732692880938
ADH1B	-11.0608593264744
TRIM67	-10.9844728722313
NIBAN1	-10.8790772914726
SLC40A1	-10.7413641199712
SLC35F6	-10.7054624517417
ACKR4	-10.6941281696512
PPARGC1A	-10.6671871862158
PCYT2	-10.6584665407569
KCNK3	-10.6106954195078
LARGE1	-10.6072291333961
NTRK2	-10.5490414869654
PLPP3	-10.4744380654992
ANGPTL2	-10.3870364382032
DIRAS2	-10.3535755488836
IGSF10	-10.3287528001697
ENDOD1	-10.3243068121748
HTR2B	-10.3181012336813
ELAPOR2	-10.284920582278
NEK10	-10.2842964220033
KCNS2	-10.2755278179753
CCR1	-10.2662685353914
LBH	-10.1950090096488
FRAS1	-10.1098762087887
SIPA1L2	-10.0704029881134
FNIP2	-10.0657949041151
RSPO3	-10.0479909904752
STRIP2	-10.0189628268025
TMEM200A	-10.0068988669354
CABLES1	-9.94455603263156
STC2	-9.93320957425063
FLOT1	-9.92323611983566
PREB	-9.91609555865468
CPA4	-9.90832543836494
EVI2B	-9.90415761549849
NR2F2	-9.84911636556095
FBN2	-9.8184376284794
PIP4K2A	-9.81673108338262
MTUS1	-9.80840405145839
OMG	-9.7830602081765
RAPGEF4	-9.77466713885686
BRINP1	-9.77466674446099
ST3GAL5	-9.74208778325212
GDF5	-9.68065261253373
IFIT3	-9.65178412850651
ALDH1L1	-9.63145113684551
STUM	-9.61491143061098
C1orf21	-9.61041116352204
SOCS2	-9.60559279500223
GNPDA1	-9.59398588551666
PDE1C	-9.57828000050614
PLXDC1	-9.5630066829917
ANK3	-9.55572838541106
ARMC9	-9.54020830391829
FAM180A	-9.52276640113859
OLFML2B	-9.49157982911427
PRUNE2	-9.47418758524768
RPP25	-9.46460685342779
OXCT1	-9.46351276505249
KCP	-9.4336961556659
KLHL21	-9.43336216733231
ABCB5	-9.43254391512245
HRK	-9.34543480665182
GCNT4	-9.34182897171704
SOCS2-AS1	-9.33801769779094
LDLR	-9.33445622789474
TMTC1	-9.31644405952867
IFIT1	-9.30673367579083
PCDH18	-9.28766275839556
GPX3	-9.25661643802896
P2RX7	-9.23938614947465
POLM	-9.23873782886338
ABR	-9.22960213668033
DCLK1	-9.22496126580137
ANTXR2	-9.1806581553411
NA	-9.17653662337273
MEDAG	-9.14661957071642
STON2	-9.13608321523417
STOM	-9.08942189714117
PLCXD3	-9.0337408571898
ZFP36	-9.01309745279549
MEGF9	-9.00970724853066
LIPA	-8.99585360281645
NUDT16	-8.99423199931262
SYPL2	-8.98989259976491
CRYAB	-8.98181231148789
UTP20	-8.97574177363097
NCR3LG1	-8.97496914791641
DAAM2	-8.96392740119881
SEMA3D	-8.94850485590326
ZCCHC14	-8.9451111632466
KIF26B	-8.93439846525785
ZNF436	-8.93330160672012
ADAMTS14	-8.92574604273867
C6	-8.92395115269846
SOCS3	-8.88124297210557
TRIM38	-8.80751636843603
MYOZ2	-8.80324858491656
CCDC39	-8.80012870887398
MID1	-8.77672231733812
PSG4	-8.76387242503331
ARL4C	-8.7425836869129
MBP	-8.74190743363891
CPXM1	-8.71791034674346
DIRAS1	-8.70718049674029
ALDH1A1	-8.70189433145759
RTL5	-8.69822190121397
FYCO1	-8.69574840437645
RAP2B	-8.67196517180258
TJP2	-8.65851668632522
XCR1	-8.65671553103896
RAB3IL1	-8.64368897887041
CMTM7	-8.63540304719365
SETDB2	-8.6331805438359
COL6A6	-8.60375587854751
ANXA11	-8.59874694496138
MMP14	-8.58204203871381
FOXRED2	-8.57681403172509
ARHGAP17	-8.57110523477091
KLF15	-8.55386978960397
HAND2	-8.54273738355306
PLAU	-8.53051379710659
KIAA0513	-8.52859304970786
MITF	-8.51838322375819
SMPDL3A	-8.51331598624596
EMILIN2	-8.49586311298108
HSPB6	-8.47521991221008
NEU1	-8.45249051767091
GUCY1A2	-8.44358349209758
HMGA2-AS1	-8.43255132570751
CD276	-8.43097186695427
SLC5A6	-8.42773655276855
LRRC32	-8.41888849940586
KANK2	-8.40311059382188
THSD4	-8.39273868298632
HSPB7	-8.36338802398745
TGFB3	-8.31348165323055
BCL2	-8.29649489558854
SNX9	-8.28594225155491
SH2D5	-8.26493100273333
SAMD3	-8.25482868528428
TGFB2	-8.24642140205251
HMGCS1	-8.2426825244727
MAF	-8.20470631856112
MAGI1	-8.19304171127813
CTNS	-8.14912447325222
MPP1	-8.13989374241071
CCN3	-8.13150622280671
NCAM2	-8.13080654349187
EML1	-8.12457642601617
SLC25A25	-8.11676255617214
TM4SF1	-8.11655665741493
MYOF	-8.11283191008598
PSEN2	-8.09740917077358
PPM1L	-8.09616165573931
ZDHHC7	-8.09556751974658
GLUL	-8.07429912244475
KLF4	-8.05056086373826
KCND3	-8.04476780798715
STARD5	-8.03728807915492
GSR	-8.02555793629178
HSPB8	-8.01497892552396
PLCL1	-7.99718148228427
ACSS2	-7.99292444921255
HSPA2	-7.97398591498042
FHOD1	-7.97144247089203
EVI2A	-7.95974847785742
SLC35F5	-7.95821523198276
TRAM2	-7.94869918270807
ATP9A	-7.93647562115256
SERINC5	-7.93306534580177
FRMD5	-7.93299278536577
ETS2	-7.93205761376809
IRAG1	-7.91159778853439
MAFB	-7.89702161583983
NA	-7.88898671726713
GPRC5C	-7.87921302809959
ABHD4	-7.87193059225743
PKD1L2	-7.86492475586289
PLXNC1	-7.86102418437717
CRISPLD1	-7.85751976326526
SULF2	-7.85249051870582
DAB1	-7.83946000227242
PNMA3	-7.83315407701284
NECTIN3	-7.82805926710819
SNN	-7.81936959720634
DKK1	-7.80659179810795
P2RY12	-7.76038894945278
CTSK	-7.74625104402324
PHLDA1	-7.73771028135278
ASAP3	-7.73326981317768
SNTA1	-7.71504216910301
LRRC8B	-7.7120661537305
FAM3C	-7.70635853297322
IFIT2	-7.70036968905493
INKA2	-7.69985110837427
PLAAT4	-7.68753674882529
STING1	-7.68413455074476
CELF2	-7.67680676458134
ITGA3	-7.67374508901939
ATP6V1C2	-7.65741683944666
TMOD2	-7.65678551046471
LRRN4CL	-7.65272129317811
ASPN	-7.65142430751345
TSPAN9	-7.64244017666431
TENT5B	-7.63850403134719
RUBCNL	-7.63399469890725
ZNF33B	-7.62337798795875
TCF21	-7.60947808315986
ARHGAP27	-7.60315514130659
POLR1A	-7.58480101408516
CHN2	-7.58465592328803
BIN1	-7.57936223689316
NA	-7.57440707083932
A2M	-7.57290695164784
EIF2AK3	-7.56160425171655
GORAB-AS1	-7.56122002209109
OSR2	-7.55355004714844
DGLUCY	-7.5533523942126
SASH1	-7.54315354888941
PBX1	-7.5329379502232
ABCC9	-7.52787778544106
SECTM1	-7.52447036274029
SELENOP	-7.51108443156785
CHST3	-7.51104183952635
TXNRD1	-7.50893029650836
DUSP5	-7.50766770474395
MTHFR	-7.49125510161959
ARHGAP28	-7.47810151389864
ITPK1	-7.47773094416415
FOS	-7.47136303175369
LITAF	-7.46872644602642
ZCCHC24	-7.45853316191872
PPM1K	-7.44536215740093
TACC2	-7.44090438121444
SCG2	-7.44054992806805
CDC42EP4	-7.43991607175682
COL21A1	-7.42648086414053
VAT1	-7.42350372979809
CSF1	-7.41801081319732
TRIM69	-7.4172427859243
FABP3	-7.40181176828825
SEMA3A	-7.40107195210075
DOLK	-7.39077440023256
KLF6	-7.39046157298637
EXOC6B	-7.38864671715022
MRPS25	-7.37739689477467
SLC1A2	-7.36439707541726
MMP11	-7.35769874755886
P2RX4	-7.35333698300433
SLC66A1L	-7.34154187782417
ROR2	-7.34116685958167
GIT2	-7.3408728524027
AMDHD2	-7.33543275044155
EEF2K	-7.32359137619746
ZNF618	-7.32073093599646
CCNYL1	-7.31485004284491
IL6R	-7.30144541830573
LRRC8A	-7.29665220997952
SMARCA2	-7.28765944849094
DRD1	-7.28293874859997
PVR	-7.27525290730525
MYCBP2	-7.27436177948082
ITLN2	-7.27032163519065
ARID5A	-7.26400200632996
PRKCA	-7.25978794405956
DGKI	-7.25948396283683
INSIG1	-7.24965743041726
ARSB	-7.24492749527723
CERT1	-7.24483735075903
RHOBTB2	-7.23343839784676
NA	-7.22586201158833
TNIK	-7.2132351399624
PDE1A	-7.21191429998877
TRPC4	-7.20926909476064
LIFR	-7.20097058344286
IDH1	-7.19654048850346
CPT1A	-7.19436175600482
UQCC1	-7.185837357481
PSG1	-7.18435006437858
PDGFRB	-7.18255139956636
GDF11	-7.18232819286634
ZNF330	-7.17994226740283
LINC00906	-7.17850227185793
TMEM192	-7.17364446663041
FAM167B	-7.17293144030546
SLC25A44	-7.16890283392234
EPS15L1	-7.16699230674579
SYNE3	-7.16452113083522
NRK	-7.15729720703019
CDHR3	-7.15728212648029
COLGALT2	-7.13750726103062
PARP9	-7.13740123516776
PPARG	-7.13682509029245
CNKSR3	-7.12434797312569
HSPA8	-7.122733132592
EEPD1	-7.1168994335434
DYNLL2	-7.11233266013998
IGFBP5	-7.09654296653999
SH3RF3	-7.09631410974167
ARHGAP26	-7.09591338015586
ADAMTS1	-7.09196053091275
ATP6V1B2	-7.0826644417935
MTSS2	-7.08185203111316
ZNF106	-7.0763493525952
SNX2	-7.07352210230278
INPP5A	-7.07128901371416
CAMK2N1	-7.06940265919125
DAB2IP	-7.05342030701213
ERV3-1	-7.05058677019368
EXTL3	-7.04768900743067
ITSN1	-7.04279198392648
URB1	-7.02960428689289
NAPA	-7.0192705891168
FASN	-7.01830599495684
SLC9A9	-6.99202784536746
TBX3	-6.99106121895975
LCP1	-6.97799091364797
NFIL3	-6.97329450476669
PLAT	-6.97150335826921
SNAI2	-6.96628871427821
NR4A3	-6.96459630675677
ACSL1	-6.95242242081459
LSAMP	-6.94529878217531
PLSCR1	-6.93690252183504
HAVCR2	-6.93301909548764
TPRG1	-6.92652661652226
ATXN7L1	-6.91404911655073
FAM102B	-6.91329867495616
